tweet_id,date_created,IATA_CODE,text,AIRLINE NAME,sentiment,day_of_week
570306133677760513,2015-02-24,VX,@VirginAmerica What @dhepburn said.,Virgin America,neutral,Tuesday
570301130888122368,2015-02-24,VX,@VirginAmerica plus you've added commercials to the experience... tacky.,Virgin America,neutral,Tuesday
570301083672813571,2015-02-24,VX,@VirginAmerica I didn't today... Must mean I need to take another trip!,Virgin America,neutral,Tuesday
570301031407624196,2015-02-24,VX,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",Virgin America,negative,Tuesday
570300817074462722,2015-02-24,VX,@VirginAmerica and it's a really big bad thing about it,Virgin America,negative,Tuesday
570300767074181121,2015-02-24,VX,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Virgin America,negative,Tuesday
570300616901320704,2015-02-24,VX,"@VirginAmerica yes, nearly every time I fly VX this âear wormâ wonât go away :)",Virgin America,positive,Tuesday
570300248553349120,2015-02-24,VX,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",Virgin America,positive,Tuesday
570299953286942721,2015-02-24,VX,"@virginamerica Well, I didn'tâ¦but NOW I DO! :-D",Virgin America,negative,Tuesday
570295459631263746,2015-02-24,VX,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",Virgin America,positive,Tuesday
570294189143031808,2015-02-24,VX,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,Virgin America,negative,Tuesday
570289724453216256,2015-02-24,VX,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,Virgin America,positive,Tuesday
570289584061480960,2015-02-24,VX,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,Virgin America,positive,Tuesday
